dimension,birth,death
-1.3214285714285712,inf,0.0
-1.0,0.5,0.0
-1.0,0.3750000000000001,0.0
-1.0,0.3750000000000001,0.0
-1.0,0.33766233766233766,0.0
-1.0,0.3142857142857144,0.0
-1.0,0.2857142857142858,0.0
-1.0,0.27272727272727293,0.0
-1.0,0.2597402597402597,0.0
-1.0,0.24444444444444458,0.0
-1.0,0.23809523809523814,0.0
-1.0,0.2063492063492064,0.0
-1.0,0.1964285714285715,0.0
-1.0,0.1964285714285714,0.0
-1.0,0.18888888888888888,0.0
-1.0,0.18888888888888888,0.0
-1.0,0.1785714285714286,0.0
-1.3030303030303028,-0.125,0.0
-1.0,0.1714285714285716,0.0
-1.2857142857142856,-0.12499999999999978,0.0
-1.0,0.1587301587301586,0.0
-1.0,0.14285714285714302,0.0
-1.0,0.1428571428571429,0.0
-1.0,0.125,0.0
-1.0,0.10000000000000009,0.0
-1.0,0.07936507936507953,0.0
-1.0,0.05555555555555558,0.0
-1.0,0.05555555555555558,0.0
-1.0,0.053571428571428825,0.0
-1.0,0.045454545454545636,0.0
-1.0,0.045454545454545525,0.0
-1.0,0.04444444444444451,0.0
-1.125,-0.08333333333333304,0.0
-1.0,0.03571428571428581,0.0
-1.0,0.03571428571428581,0.0
-1.0,0.0357142857142857,0.0
-1.0,0.031746031746031855,0.0
-1.0,0.0277777777777779,0.0
-1.0535714285714288,-0.035714285714285365,0.0
-1.0,0.017857142857143016,0.0
-1.0,0.015873015873015928,0.0
-1.0,0.015873015873015928,0.0
-1.0,0.011363636363636465,0.0
-1.0,0.00909090909090915,0.0
-1.0,4.440892098500626e-16,0.0
-1.0,3.3306690738754696e-16,0.0
-1.0,2.220446049250313e-16,0.0
-1.0,2.220446049250313e-16,0.0
-1.0,2.220446049250313e-16,0.0
-1.0,0.0,0.0
-1.0,0.0,0.0
-1.0,0.0,0.0
-1.0,0.0,0.0
-1.0,0.0,0.0
-1.0,0.0,0.0
-1.0,0.0,0.0
-1.0,0.0,0.0
-1.0,1.1102230246251565e-16,0.0
-1.0,-2.220446049250313e-16,0.0
-1.0,-0.010101010101009944,0.0
-1.0,-0.010101010101010166,0.0
-1.0,-0.01388888888888884,0.0
-1.0,-0.015873015873015817,0.0
-1.0,-0.016666666666666607,0.0
-1.0,-0.017857142857142794,0.0
-1.0,-0.025000000000000133,0.0
-1.0,-0.025000000000000133,0.0
-1.0,-0.027272727272727337,0.0
-1.0,-0.02777777777777768,0.0
-1.0,-0.03333333333333299,0.0
-1.0,-0.033333333333333215,0.0
-1.0,-0.03409090909090873,0.0
-1.0,-0.03571428571428559,0.0
-1.0,-0.03571428571428559,0.0
-1.0,-0.04166666666666652,0.0
-1.0,-0.050000000000000044,0.0
-1.0,-0.05357142857142838,0.0
-1.0,-0.05681818181818188,0.0
-1.0,-0.0568181818181821,0.0
-1.0,-0.06493506493506507,0.0
-1.0,-0.07142857142857117,0.0
-1.0,-0.0714285714285714,0.0
-1.0,-0.0714285714285714,0.0
-1.0,-0.07954545454545436,0.0
-1.0,-0.08333333333333326,0.0
-1.0,-0.09090909090909083,0.0
-1.0,-0.09090909090909083,0.0
-1.0,-0.10714285714285698,0.0
-1.0,-0.10714285714285698,0.0
-1.0,-0.1071428571428572,0.0
-1.0,-0.1090909090909089,0.0
-1.0,-0.10989010989010972,0.0
-1.0,-0.11111111111111094,0.0
-1.0,-0.11111111111111116,0.0
-1.0,-0.11111111111111116,0.0
-1.0,-0.11111111111111116,0.0
-1.0,-0.1142857142857141,0.0
-1.0,-0.12222222222222179,0.0
-1.0,-0.12499999999999978,0.0
-1.0,-0.12499999999999978,0.0
-1.0,-0.12499999999999978,0.0
-1.0,-0.12499999999999978,0.0
-1.0,-0.125,0.0
-1.0,-0.1298701298701299,0.0
-1.0,-0.13333333333333286,0.0
-1.0,-0.13636363636363602,0.0
-1.0,-0.14285714285714235,0.0
-1.0,-0.14285714285714257,0.0
-1.0,-0.1428571428571428,0.0
-1.0,-0.1428571428571428,0.0
-1.0,-0.1428571428571428,0.0
-1.0,-0.1428571428571428,0.0
-1.0,-0.1428571428571428,0.0
-1.0,-0.1428571428571428,0.0
-1.0,-0.1499999999999999,0.0
-1.0,-0.15151515151515138,0.0
-1.0,-0.15277777777777768,0.0
-1.0,-0.15555555555555545,0.0
-1.0,-0.16071428571428537,0.0
-1.0,-0.1607142857142856,0.0
-1.0,-0.1607142857142856,0.0
-1.0,-0.1607142857142856,0.0
-1.0,-0.1607142857142856,0.0
-1.0,-0.16666666666666652,0.0
-1.0,-0.17460317460317443,0.0
-1.0,-0.17460317460317443,0.0
-1.0,-0.17460317460317443,0.0
-1.0,-0.17460317460317443,0.0
-1.0,-0.17460317460317465,0.0
-1.0,-0.17460317460317465,0.0
-1.0,-0.17460317460317487,0.0
-1.0,-0.17499999999999982,0.0
-1.0,-0.18181818181818166,0.0
-1.0,-0.18181818181818166,0.0
-1.0,-0.18181818181818188,0.0
-1.0,-0.18571428571428572,0.0
-1.0,-0.18888888888888866,0.0
-1.0,-0.18888888888888888,0.0
-1.0,-0.1944444444444442,0.0
-1.0,-0.1944444444444442,0.0
-1.0,-0.19999999999999973,0.0
-1.0,-0.19999999999999996,0.0
-1.0,-0.19999999999999996,0.0
-1.0,-0.19999999999999996,0.0
-1.0,-0.19999999999999996,0.0
-1.0,-0.20000000000000018,0.0
-1.0,-0.2000000000000004,0.0
-1.0,-0.2063492063492065,0.0
-1.0,-0.20833333333333304,0.0
-1.0,-0.20833333333333326,0.0
-1.0,-0.21428571428571397,0.0
-1.0,-0.2142857142857142,0.0
-1.0,-0.2142857142857142,0.0
-1.0,-0.21590909090909083,0.0
-1.0,-0.21666666666666679,0.0
-1.0,-0.22222222222222165,0.0
-1.0,-0.22222222222222188,0.0
-1.0,-0.22222222222222188,0.0
-1.0,-0.22222222222222188,0.0
-1.0,-0.2222222222222221,0.0
-1.0,-0.2222222222222221,0.0
-1.0,-0.22222222222222232,0.0
-1.0,-0.22222222222222232,0.0
-1.0,-0.22499999999999987,0.0
-1.0,-0.22857142857142865,0.0
-1.0,-0.2424242424242422,0.0
-1.0,-0.24285714285714244,0.0
-1.0,-0.24999999999999978,0.0
-1.0,-0.24999999999999978,0.0
-1.0,-0.24999999999999978,0.0
-1.0,-0.24999999999999978,0.0
-1.0,-0.25,0.0
-1.0,-0.25,0.0
-1.0,-0.25,0.0
-1.0,-0.25,0.0
-1.0,-0.25,0.0
-1.0,-0.25,0.0
-1.0,-0.25,0.0
-1.0,-0.25,0.0
-1.0,-0.25,0.0
-1.0,-0.25,0.0
-1.0,-0.25,0.0
-1.0,-0.25,0.0
-1.0,-0.25,0.0
-1.0,-0.2597402597402598,0.0
-1.0,-0.2597402597402598,0.0
-1.0,-0.26666666666666616,0.0
-1.0,-0.2666666666666666,0.0
-1.0,-0.26666666666666683,0.0
-1.0,-0.2678571428571428,0.0
-1.0,-0.2727272727272727,0.0
-1.0,-0.2738095238095233,0.0
-1.0,-0.2738095238095235,0.0
-1.0,-0.2749999999999997,0.0
-1.0,-0.28571428571428514,0.0
-1.0,-0.28571428571428514,0.0
-1.0,-0.28571428571428537,0.0
-1.0,-0.28571428571428537,0.0
-1.0,-0.2857142857142856,0.0
-1.0,-0.2857142857142856,0.0
-1.0,-0.2857142857142856,0.0
-1.0,-0.2857142857142858,0.0
-1.0,-0.2999999999999996,0.0
-1.0,-0.2999999999999998,0.0
-1.0,-0.2999999999999998,0.0
-1.0,-0.30000000000000004,0.0
-1.0,-0.30000000000000004,0.0
-1.0,-0.30000000000000004,0.0
-1.0,-0.30000000000000027,0.0
-1.0,-0.30158730158730096,0.0
-1.0,-0.30158730158730096,0.0
-1.0,-0.3015873015873014,0.0
-1.0,-0.3035714285714284,0.0
-1.0,-0.3035714285714284,0.0
-1.0,-0.30681818181818166,0.0
-1.0,-0.31313131313131315,0.0
-1.0,-0.317460317460317,0.0
-1.0,-0.32222222222222197,0.0
-1.0,-0.32499999999999973,0.0
-1.0,-0.32499999999999996,0.0
-1.0,-0.33333333333333304,0.0
-1.0,-0.33333333333333304,0.0
-1.0,-0.33333333333333304,0.0
-1.0,-0.33333333333333326,0.0
-1.0,-0.33333333333333326,0.0
-1.0,-0.33333333333333326,0.0
-1.0,-0.33333333333333326,0.0
-1.0,-0.34090909090909083,0.0
-1.0,-0.34999999999999987,0.0
-1.0,-0.35353535353535337,0.0
-1.0,-0.357142857142857,0.0
-1.0,-0.357142857142857,0.0
-1.0,-0.3571428571428572,0.0
-1.0,-0.36111111111111094,0.0
-1.0,-0.3636363636363633,0.0
-1.0,-0.36363636363636376,0.0
-1.0,-0.36507936507936445,0.0
-1.0,-0.3650793650793649,0.0
-1.0,-0.3650793650793651,0.0
-1.0,-0.36904761904761885,0.0
-1.0,-0.3749999999999998,0.0
-1.0,-0.3749999999999998,0.0
-1.0,-0.375,0.0
-1.0,-0.375,0.0
-1.0,-0.375,0.0
-1.0,-0.375,0.0
-1.0,-0.375,0.0
-1.0,-0.375,0.0
-1.0,-0.375,0.0
-1.0,-0.375,0.0
-1.0,-0.3766233766233764,0.0
-1.0,-0.3766233766233764,0.0
-1.0,-0.37662337662337664,0.0
-1.0,-0.37777777777777777,0.0
-1.0,-0.38181818181818183,0.0
-1.0,-0.38888888888888884,0.0
-1.0,-0.38888888888888906,0.0
-1.0,-0.3928571428571428,0.0
-1.0,-0.39285714285714324,0.0
-1.0,-0.3999999999999999,0.0
-1.0,-0.3999999999999999,0.0
-1.0,-0.3999999999999999,0.0
-1.0,-0.4025974025974024,0.0
-1.0,-0.4107142857142856,0.0
-1.0,-0.4107142857142856,0.0
-1.0,-0.41269841269841234,0.0
-1.0,-0.41269841269841256,0.0
-1.0,-0.42222222222222205,0.0
-1.0,-0.4242424242424241,0.0
-1.0,-0.4242424242424241,0.0
-1.0,-0.4249999999999998,0.0
-1.0,-0.4249999999999998,0.0
-1.0,-0.42500000000000004,0.0
-1.0,-0.42500000000000004,0.0
-1.0,-0.42857142857142816,0.0
-1.0,-0.4285714285714284,0.0
-1.0,-0.4285714285714284,0.0
-1.0,-0.4285714285714284,0.0
-1.0,-0.4285714285714284,0.0
-1.0,-0.4285714285714284,0.0
-1.0,-0.4285714285714284,0.0
-1.0,-0.4305555555555556,0.0
-1.0,-0.4333333333333331,0.0
-1.0,-0.43333333333333335,0.0
-1.0,-0.4444444444444442,0.0
-1.0,-0.4444444444444442,0.0
-1.0,-0.4444444444444444,0.0
-1.0,-0.44444444444444464,0.0
-1.0,-0.4500000000000002,0.0
-1.0,-0.4722222222222219,0.0
-1.0,-0.4750000000000001,0.0
-1.0,-0.47619047619047583,0.0
-1.0,-0.48571428571428577,0.0
-1.0,-0.4861111111111107,0.0
-1.0,-0.48611111111111094,0.0
-1.0,-0.4949494949494946,0.0
-1.0,-0.5,0.0
-1.0,-0.5,0.0
-1.0,-0.5,0.0
-1.0,-0.5,0.0
-1.0,-0.5,0.0
-1.0,-0.5,0.0
-1.0,-0.5,0.0
-1.0,-0.5,0.0
-1.0,-0.5000000000000002,0.0
-1.0,-0.5000000000000002,0.0
-1.0,-0.5000000000000002,0.0
-1.0,-0.5000000000000004,0.0
-1.0,-0.5000000000000004,0.0
-1.0,-0.5079365079365077,0.0
-1.0,-0.5079365079365079,0.0
-1.0,-0.5079365079365079,0.0
-1.0,-0.517857142857143,0.0
-1.0,-0.5333333333333332,0.0
-1.0,-0.5357142857142856,0.0
-1.0,-0.5357142857142856,0.0
-1.0,-0.5357142857142856,0.0
-1.0,-0.5357142857142856,0.0
-1.0,-0.5444444444444445,0.0
-1.0,-0.5499999999999998,0.0
-1.0,-0.5535714285714284,0.0
-1.0,-0.5555555555555549,0.0
-1.0,-0.5555555555555551,0.0
-1.0,-0.5555555555555554,0.0
-1.0,-0.5555555555555554,0.0
-1.0,-0.5555555555555554,0.0
-1.0,-0.5636363636363635,0.0
-1.0,-0.5656565656565655,0.0
-1.0,-0.5656565656565657,0.0
