dimension,birth,death
-1.0,inf,0.0
-1.0,inf,0.0
-1.2000000000000002,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0999999999999996,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,inf,0.0
-1.0,0.6666666666666667,0.0
-1.0,0.6666666666666667,0.0
-1.0,0.6666666666666667,0.0
-1.0,0.6666666666666667,0.0
-1.0,0.6666666666666667,0.0
-1.0,0.6666666666666667,0.0
-1.0,0.6666666666666667,0.0
-1.0,0.6666666666666667,0.0
-1.0,0.6666666666666667,0.0
-1.0,0.6000000000000001,0.0
-1.0,0.6000000000000001,0.0
-1.0,0.6000000000000001,0.0
-1.0,0.6,0.0
-1.0,0.6,0.0
-1.0,0.6,0.0
-1.0,0.5714285714285714,0.0
-1.0,0.5,0.0
-1.0,0.5,0.0
-1.0,0.5,0.0
-1.0,0.5,0.0
-1.0,0.5,0.0
-1.0,0.5,0.0
-1.0,0.5,0.0
-1.0,0.5,0.0
-1.0,0.5,0.0
-1.0,0.5,0.0
-1.0,0.5,0.0
-1.0,0.5,0.0
-1.0,0.5,0.0
-1.0,0.43333333333333357,0.0
-1.0,0.4285714285714286,0.0
-1.0,0.4285714285714286,0.0
