dimension,birth,death
-1.0,inf,0.0
-1.0,0.00044936142241391386,0.0
-1.0,8.525486865552504e-05,0.0
-1.0,8.125304760758269e-05,0.0
-1.0,7.396622380404745e-05,0.0
-1.0,6.850725829826627e-05,0.0
-1.0,6.715724778379684e-05,0.0
-1.0,6.277939353879745e-05,0.0
-1.0,6.267461883295483e-05,0.0
-1.0,6.083565195871987e-05,0.0
-1.0,6.060891151115796e-05,0.0
-1.0,6.046952108426091e-05,0.0
-1.0,5.8939506966740004e-05,0.0
-1.0,5.8742437907935405e-05,0.0
-1.0,5.8152862564887295e-05,0.0
-1.0,5.563379217474121e-05,0.0
-1.0,5.238116898517969e-05,0.0
-1.0,5.173366063953232e-05,0.0
-1.0,5.158004032016327e-05,0.0
-1.0,5.1112631862260215e-05,0.0
-1.0,5.110997087543911e-05,0.0
-1.0,4.929626285354706e-05,0.0
-1.0,4.8458258656140156e-05,0.0
-1.0,4.788808787849877e-05,0.0
-1.0,4.7172603184210284e-05,0.0
-1.0,4.69988607486421e-05,0.0
-1.0,4.666690118499852e-05,0.0
-1.0,4.665323838028167e-05,0.0
-1.0,4.642903852337981e-05,0.0
-1.0,4.635708578326438e-05,0.0
-1.0,4.5782579191475864e-05,0.0
-1.0,4.5225406760278144e-05,0.0
-1.0,4.5097712045352997e-05,0.0
-1.0,4.501354849632237e-05,0.0
-1.0,4.424062096818822e-05,0.0
-1.0,4.364795870589281e-05,0.0
-1.0,4.3507683944676e-05,0.0
-1.0,4.340160004892219e-05,0.0
-1.0,4.329373901144398e-05,0.0
-1.0,4.252795877483163e-05,0.0
-1.0,4.2249740877713415e-05,0.0
-1.0,4.182074218431727e-05,0.0
-1.0,4.115285910063643e-05,0.0
-1.0,4.067846704822524e-05,0.0
-1.0,4.055911851916913e-05,0.0
-1.0,4.042191401288294e-05,0.0
-1.0,3.960378065904423e-05,0.0
-1.0,3.958537817860312e-05,0.0
-1.0,3.921881166229276e-05,0.0
-1.0,3.9121966925334804e-05,0.0
-1.0,3.864462364935808e-05,0.0
-1.0,3.800687978192055e-05,0.0
-1.0,3.738703343924433e-05,0.0
-1.0,3.736389459501113e-05,0.0
-1.0,3.715645042504029e-05,0.0
-1.0,3.700330838437601e-05,0.0
-1.0,3.688199253736858e-05,0.0
-1.0,3.642785666144109e-05,0.0
-1.0,3.6118745421371515e-05,0.0
-1.0,3.6110616980810874e-05,0.0
-1.0,3.590999920931098e-05,0.0
-1.0,3.585305659682346e-05,0.0
-1.0,3.5779537777593166e-05,0.0
-1.0,3.5462313929599466e-05,0.0
-1.0,3.542920504998321e-05,0.0
-1.0,3.5326331855937844e-05,0.0
-1.0,3.508544055477958e-05,0.0
-1.0,3.508054004739511e-05,0.0
-1.0,3.4903345815470946e-05,0.0
-1.0,3.4675795371685285e-05,0.0
-1.0,3.459715827243728e-05,0.0
-1.0,3.4538616258748086e-05,0.0
-1.0,3.4279585434445396e-05,0.0
-1.0,3.4193107208202015e-05,0.0
-1.0,3.414306302853362e-05,0.0
-1.0,3.408132353943931e-05,0.0
-1.0,3.398550854551322e-05,0.0
-1.0,3.393293069012843e-05,0.0
