birth,death,k dimension
6.0,inf,0.0
6.0,8.0,0.0
6.0,8.0,0.0
6.0,8.0,0.0
6.0,8.0,0.0
6.0,8.0,0.0
6.0,8.0,0.0
6.0,8.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
6.0,7.0,0.0
9.0,inf,1.0
8.0,inf,1.0
7.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
9.0,inf,1.0
8.0,inf,1.0
9.0,inf,1.0
9.0,inf,1.0
9.0,inf,1.0
8.0,inf,1.0
9.0,inf,1.0
8.0,inf,1.0
9.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
8.0,inf,1.0
7.0,inf,1.0
7.0,inf,1.0
8.0,12.0,1.0
7.0,10.0,1.0
9.0,12.0,1.0
7.0,9.0,1.0
7.0,9.0,1.0
9.0,11.0,1.0
8.0,10.0,1.0
8.0,10.0,1.0
8.0,10.0,1.0
8.0,10.0,1.0
9.0,11.0,1.0
8.0,10.0,1.0
8.0,9.0,1.0
8.0,9.0,1.0
7.0,8.0,1.0
8.0,9.0,1.0
8.0,9.0,1.0
7.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
10.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
11.0,inf,2.0
6.0,inf,2.0
6.0,inf,2.0
6.0,inf,2.0
6.0,inf,2.0
6.0,inf,2.0
6.0,inf,2.0
6.0,inf,2.0
6.0,inf,2.0
6.0,inf,2.0
6.0,inf,2.0
6.0,inf,2.0
6.0,inf,2.0
6.0,inf,2.0
6.0,inf,2.0
6.0,inf,2.0
6.0,inf,2.0
6.0,inf,2.0
6.0,inf,2.0
6.0,inf,2.0
6.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
9.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
11.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
12.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
12.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
7.0,inf,2.0
12.0,inf,2.0
12.0,inf,2.0
12.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
12.0,inf,2.0
8.0,inf,2.0
12.0,inf,2.0
8.0,inf,2.0
12.0,inf,2.0
8.0,inf,2.0
12.0,inf,2.0
12.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
12.0,inf,2.0
12.0,inf,2.0
12.0,inf,2.0
8.0,inf,2.0
12.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
12.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
12.0,inf,2.0
8.0,inf,2.0
12.0,inf,2.0
12.0,inf,2.0
12.0,inf,2.0
12.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
12.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
12.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
12.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
12.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
12.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
12.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
12.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
8.0,inf,2.0
