dimension,birth,death
-1.0,inf,0.0
-1.0,0.00021670694173439882,0.0
-1.0,0.00012355199242596832,0.0
-1.0,9.220141074222221e-05,0.0
-1.0,8.923759192387839e-05,0.0
-1.0,8.879330866973814e-05,0.0
-1.0,8.700828206075506e-05,0.0
-1.0,8.108677497260046e-05,0.0
-1.0,7.785512715636521e-05,0.0
-1.0,7.402293138676646e-05,0.0
-1.0,6.928395486286131e-05,0.0
-1.0,6.902029534491117e-05,0.0
-1.0,6.800740823702258e-05,0.0
-1.0,6.509281246994713e-05,0.0
-1.0,6.473190681318277e-05,0.0
-1.0,6.424151711127554e-05,0.0
-1.0,6.39837521402545e-05,0.0
-1.0,5.86298109369933e-05,0.0
-1.0,5.8125862317348776e-05,0.0
-1.0,5.8092456820858314e-05,0.0
-1.0,5.6191549042131574e-05,0.0
-1.0,5.4624583834607224e-05,0.0
-1.0,5.441846343270199e-05,0.0
-1.0,5.421963511714062e-05,0.0
-1.0,5.1537905323139505e-05,0.0
-1.0,5.108728455333514e-05,0.0
-1.0,5.095509045605934e-05,0.0
-1.0,5.0732663115922776e-05,0.0
-1.0,5.067961900949142e-05,0.0
-1.0,5.0467494162674054e-05,0.0
-1.0,5.010477468854193e-05,0.0
-1.0,4.9535155680319634e-05,0.0
-1.0,4.929093974256298e-05,0.0
-1.0,4.855862984855709e-05,0.0
-1.0,4.704867541696092e-05,0.0
-1.0,4.684920219984179e-05,0.0
-1.0,4.553927334106021e-05,0.0
-1.0,4.481656704737435e-05,0.0
-1.0,4.435771658806592e-05,0.0
-1.0,4.406388725928162e-05,0.0
-1.0,4.351517773382911e-05,0.0
-1.0,4.3413847143829565e-05,0.0
-1.0,4.29752447362457e-05,0.0
-1.0,4.211601517801886e-05,0.0
-1.0,4.1826611526289346e-05,0.0
-1.0,4.106435670551141e-05,0.0
-1.0,4.102363330908881e-05,0.0
-1.0,4.0883532030845935e-05,0.0
-1.0,4.0258525131668164e-05,0.0
-1.0,4.0131470714551775e-05,0.0
-1.0,4.011152838052406e-05,0.0
-1.0,3.9780211071345754e-05,0.0
-1.0,3.9746801516928005e-05,0.0
-1.0,3.964955077628181e-05,0.0
-1.0,3.956467840719136e-05,0.0
-1.0,3.939040539708163e-05,0.0
-1.0,3.91708532247156e-05,0.0
-1.0,3.897026930841762e-05,0.0
-1.0,3.8939132006517406e-05,0.0
-1.0,3.893104607563639e-05,0.0
-1.0,3.88670898902243e-05,0.0
-1.0,3.881653563538004e-05,0.0
-1.0,3.866386121487585e-05,0.0
-1.0,3.8122825818513194e-05,0.0
-1.0,3.733824210465936e-05,0.0
-1.0,3.720402034730183e-05,0.0
-1.0,3.6964242943892035e-05,0.0
-1.0,3.687859996512579e-05,0.0
-1.0,3.63477825207392e-05,0.0
-1.0,3.607420333459072e-05,0.0
-1.0,3.5988702367252156e-05,0.0
-1.0,3.593507598842104e-05,0.0
-1.0,3.563656081298065e-05,0.0
-1.0,3.54536070152128e-05,0.0
-1.0,3.50676313915935e-05,0.0
-1.0,3.5046681932470856e-05,0.0
-1.0,3.499543381119683e-05,0.0
-1.0,3.46995784432281e-05,0.0
-1.0,3.4515812628555664e-05,0.0
-1.0,3.437631022914611e-05,0.0
-1.0,3.436929086264495e-05,0.0
-1.0,3.420521963123079e-05,0.0
-1.0,3.40629546269376e-05,0.0
-1.0,3.3917057308978744e-05,0.0
-1.0,3.360534306754147e-05,0.0
-1.0,3.3411504620395785e-05,0.0
-1.0,3.3315164951567896e-05,0.0
-1.0,3.323130275812115e-05,0.0
-1.0,3.322435716965735e-05,0.0
-1.0,3.310227341626588e-05,0.0
-1.0,3.277354636957433e-05,0.0
-1.0,3.263517976822789e-05,0.0
-1.0,3.233558839674794e-05,0.0
-1.0,3.229169676329623e-05,0.0
-1.0,3.228964433070475e-05,0.0
-1.0,3.2160014566497263e-05,0.0
-1.0,3.162717674129314e-05,0.0
-1.0,3.145331782584676e-05,0.0
-1.0,3.1350177734740015e-05,0.0
-1.0,3.129396981312343e-05,0.0
-1.0,3.1265700211770774e-05,0.0
-1.0,3.124736435231805e-05,0.0
-1.0,3.0963209264158426e-05,0.0
-1.0,3.066657437840086e-05,0.0
-1.0,3.066131879453753e-05,0.0
-1.0,3.059362208477947e-05,0.0
-1.0,3.0431547711669774e-05,0.0
-1.0,3.034536846247279e-05,0.0
-1.0,3.0048851267775896e-05,0.0
-1.0,2.9806259847925135e-05,0.0
-1.0,2.9699451153801486e-05,0.0
-1.0,2.958158099826283e-05,0.0
-1.0,2.95555915338778e-05,0.0
-1.0,2.9343458709413027e-05,0.0
-1.0,2.9224132750540212e-05,0.0
-1.0,2.9174795108195273e-05,0.0
-1.0,2.8966981336018547e-05,0.0
-1.0,2.8884000083460338e-05,0.0
-1.0,2.8422369491033242e-05,0.0
-1.0,2.8381079564538787e-05,0.0
-1.0,2.83484927860342e-05,0.0
-1.0,2.8333348149636247e-05,0.0
-1.0,2.813918008377737e-05,0.0
-1.0,2.8125593490178967e-05,0.0
-1.0,2.805939682142766e-05,0.0
-1.0,2.7988588757097695e-05,0.0
-1.0,2.7976673536742013e-05,0.0
-1.0,2.7742892108093493e-05,0.0
-1.0,2.7727806485935293e-05,0.0
-1.0,2.7504070230880393e-05,0.0
-1.0,2.7477575782723937e-05,0.0
-1.0,2.7393514910927393e-05,0.0
-1.0,2.730400850944252e-05,0.0
-1.0,2.718391420125661e-05,0.0
-1.0,2.7172930733944532e-05,0.0
-1.0,2.6998941656666865e-05,0.0
-1.0,2.698415536606099e-05,0.0
-1.0,2.69770782576999e-05,0.0
-1.0,2.696984049678001e-05,0.0
-1.0,2.6815590248943468e-05,0.0
-1.0,2.678570506857482e-05,0.0
-1.0,2.6628135146241335e-05,0.0
-1.0,2.6598482675919024e-05,0.0
-1.0,2.632792421701335e-05,0.0
-1.0,2.622232334289592e-05,0.0
-1.0,2.6197942366623683e-05,0.0
-1.0,2.6173595702065487e-05,0.0
-1.0,2.614818525703883e-05,0.0
-1.0,2.6073391862163997e-05,0.0
-1.0,2.604662139337801e-05,0.0
-1.0,2.578610356414286e-05,0.0
